,precision,recall,f1-score,support
ACTION,0.562963,0.546763,0.554745,139
HISTORY,0.640541,0.551163,0.5925,430
LOCATION,0.125,0.322581,0.18018,31
ORGANIZATION,0.533333,0.4,0.457143,20
OTHER,0.483871,0.517241,0.5,29
PERSON,0.867305,0.548918,0.672322,1155
SYMPTOM,0.383636,0.57337,0.459695,368
micro avg,0.622908,0.548343,0.583252,2172
macro avg,0.513807,0.494291,0.488084,2172
weighted avg,0.702198,0.548343,0.601663,2172
